"country","title","barcode"
"Unknown Country","1900","00254584"
"Unknown Country","ABNORMAL BEAUTY","00244590"
"Unknown Country","ACCIDENT","00243838"
"Unknown Country","AMERICAN FRIEND (CRITERION EDITION)","00250732"
"Unknown Country","ARMADILLO","00242145"
"Unknown Country","BARKING DOGS NEVER BITE","00235971"
"Unknown Country","BARRIO","00222464"
"Unknown Country","BASKIN","00251628"
"Unknown Country","BASKIN (BD)","00251629"
"Unknown Country","BEAUTY IN TROUBLE","00235884"
"Unknown Country","BELLS OF DEATH","00224478"
"Unknown Country","BODYGUARDS & ASSASSINS","00242907"
"Unknown Country","BORN IN 68","00229220"
"Unknown Country","BRAND NEW TESTAMENT","00252251"
"Unknown Country","BREATHING","00245220"
"Unknown Country","BRIDGE (CRITERION)","00249771"
"Unknown Country","CAR CEMETERY","00233906"
"Unknown Country","CASA DE MI PADRE","00243772"
"Unknown Country","CECILIA ('82)","00219726"
"Unknown Country","CHICKEN WITH PLUMS","00245457"
"Unknown Country","CHINESE HERCULES","00249726"
"Unknown Country","CHINESE PUZZLE","00248383"
"Unknown Country","CHRISTMAS TALE","00231572"
"Unknown Country","CITY OF LIFE & DEATH","00241507"
"Unknown Country","CLASSE TOUS RISQUES","00222029"
"Unknown Country","COCO CHANEL & IGOR STRAVINSKY","00236992"
"Unknown Country","COLD WAR ('18)   CRITERION EDITION","00254370"
"Unknown Country","COME DRINK WITH ME","00253796"
"Unknown Country","CROUCHING TIGER HIDDEN DRAGON (BD)","00237935"
"Unknown Country","DAMNED","00240661"
"Unknown Country","DAY HE ARRIVES","00244595"
"Unknown Country","DAY I SAW YOUR HEART","00243792"
"Unknown Country","DAY IN THE COUNTRY (CRITERION)","00249084"
"Unknown Country","DEAD SNOW 2","00248756"
"Unknown Country","DEATH OF LOUIS XIV","00252759"
"Unknown Country","DEMONIACS","00243174"
"Unknown Country","DIGNITY OF NOBODIES","00222439"
"Unknown Country","DOUBLE LOVER","00253429"
"Unknown Country","DRUMMER","00228846"
"Unknown Country","DRUNKEN MASTER 2","00222032"
"Unknown Country","EL BULLI","00243132"
"Unknown Country","EL TOPO","00223576"
"Unknown Country","EUGENIE DE SADE","00219738"
"Unknown Country","EXECUTIONER (CRITERION EDITION)","00251889"
"Unknown Country","FANNY TRILOGY 1: MARIUS","00247951"
"Unknown Country","FILL THE VOID","00246557"
"Unknown Country","FIRE WITHIN","00221562"
"Unknown Country","FIVE BROKEN CAMERAS","00245215"
"Unknown Country","FOOTNOTE","00243800"
"Unknown Country","FRAULEIN","00221904"
"Unknown Country","FRONTIER(S)","00221764"
"Unknown Country","GIRL ON THE TRAIN ('08)","00235057"
"Unknown Country","GIRL WHO KICKED THE HORNET'S NEST","00238625"
"Unknown Country","GIRL WHO KICKED THE HORNET'S NEST (BD)","00238640"
"Unknown Country","GIVE ME YOUR HAND","00232875"
"Unknown Country","GLASS LIPS","00222531"
"Unknown Country","GODARD MON AMOUR","00253618"
"Unknown Country","GOMORRAH","00233367"
"Unknown Country","GRACELAND","00248773"
"Unknown Country","HAPPY END (BD)","00253633"
"Unknown Country","HEAD-ON ('04)","00204421"
"Unknown Country","HEART OF GLASS","00176936"
"Unknown Country","HEROES OF THE EAST","00253797"
"Unknown Country","HIGH TENSION","00204706"
"Unknown Country","HIPSTERS","00245312"
"Unknown Country","HIROSHIMA MON AMOUR","00184631"
"Unknown Country","HOLY GIRL","00204111"
"Unknown Country","HOST ('06}","00236016"
"Unknown Country","HOUR OF THE WOLF","00193394"
"Unknown Country","HOUSE OF FLYING DAGGERS","00201640"
"Unknown Country","HOUSE OF FOOLS","00191568"
"Unknown Country","HOWL ('69)","00234547"
"Unknown Country","HUKKLE","00203324"
"Unknown Country","HUM DIL DE CHUKE SANAM","00199517"
"Unknown Country","HUMANITE","00172936"
"Unknown Country","HUMMINGBIRD","00216790"
"Unknown Country","HUNGER ('66)","00210130"
"Unknown Country","HUNT ('12)","00247013"
"Unknown Country","I AM CURIOUS YELLOW","00194845"
"Unknown Country","I HAVE FOUND IT","00199749"
