"title","barcode"
"11.22.63 1","00251583"
"11.22.63 2","00251584"
"11TH HOUR 1","00223817"
"11TH HOUR 2","00223818"
"12 MONKEYS 1.1","00250788"
"12 MONKEYS 1.2","00250789"
"12 MONKEYS 1.3","00250790"
"24 1.1","00208319"
"24 1.1","00232394"
"24 1.2","00208320"
"24 1.2","00232395"
"24 1.3","00208321"
"24 1.4","00208322"
"24 1.4","00232396"
"24 1.5","00208323"
"24 1.5","00232397"
"24 1.6","00186419"
"24 2.1","00202269"
"24 2.2","00202279"
"24 2.3","00202280"
"24 2.3","00203299"
"24 2.4","00202281"
"24 2.5","00202282"
"24 2.6","00202456"
"24 3.1","00200148"
"24 3.1","00208324"
"24 3.2","00208325"
"24 3.3","00208326"
"24 3.4","00208327"
"24 3.5","00208328"
"24 3.6","00208329"
"24 4.1","00205605"
"24 4.2","00205606"
"24 4.3","00205607"
"24 4.4","00205608"
"24 4.5","00205609"
"24 4.6","00205648"
"24 5.1","00212441"
"24 5.2","00212442"
"24 5.3","00212443"
"24 5.4","00212444"
"24 5.5","00212445"
"24 5.6","00212571"
"24 6.1","00212627"
"24 6.1","00218689"
"24 6.2","00218690"
"24 6.3","00218691"
"24 6.4","00218692"
"24 6.5","00218693"
"24 6.6","00218694"
"24 7.1","00229103"
"24 7.2","00229104"
"24 7.3","00229105"
"24 7.4","00229106"
"24 7.5","00229107"
"24 7.6","00229108"
"24 8.1","00241817"
"24 8.2","00241818"
"24 8.3","00241819"
"24 8.4","00241820"
"24 8.5","00241821"
"24 8.6","00241822"
"30 ROCK 1.1","00231631"
"30 ROCK 1.2","00229888"
"30 ROCK 1.2","00231634"
"30 ROCK 1.3","00227548"
"30 ROCK 1.3","00229887"
"30 ROCK 2.1","00231636"
"30 ROCK 2.2","00231637"
"30 ROCK 3.1","00230275"
"30 ROCK 3.1","00230294"
"30 ROCK 3.2","00230309"
"30 ROCK 3.3","00230312"
"30 ROCK 3.3","00230314"
"30 ROCK 4.1","00237319"
"30 ROCK 4.2","00237321"
"30 ROCK 4.3","00237323"
"30 ROCK 5.1","00242412"
"30 ROCK 5.2","00242413"
"30 ROCK 5.3","00242414"
"30 ROCK 6.1","00244163"
"30 ROCK 6.2","00244164"
"30 ROCK 6.3","00244165"
"30 ROCK 7.1","00246258"
"30 ROCK 7.2","00246259"
"ABSOLUTELY FABULOUS 1","00229757"
"ABSOLUTELY FABULOUS 2","00229758"
"ABSOLUTELY FABULOUS 3","00173662"
"ABSOLUTELY FABULOUS 4","00194831"
"ABSOLUTELY FABULOUS 5","00194040"
"ADVENTURE TIME 1.1","00243723"
"ADVENTURE TIME 1.2","00243724"
"ADVENTURE TIME 2.1","00246264"
"ADVENTURE TIME 2.2","00246265"
"AFFAIR 1.1","00250002"
"AFFAIR 1.2","00250003"
"AFFAIR 1.3","00250004"
"AGENTS OF SHIELD 1.1","00248138"
"AGENTS OF SHIELD 1.1","00248340"
"AGENTS OF SHIELD 1.2","00248139"
"AGENTS OF SHIELD 1.2","00248341"
"AGENTS OF SHIELD 1.3","00248140"
"AGENTS OF SHIELD 1.3","00248342"
"AGENTS OF SHIELD 1.4","00248343"
"AGENTS OF SHIELD 1.5","00248142"
"AGENTS OF SHIELD 1.5","00248344"
"AGENTS OF SHIELD 2.1","00250452"
"AGENTS OF SHIELD 2.2","00250453"
"AGENTS OF SHIELD 2.3","00250454"
"AGENTS OF SHIELD 2.4","00250455"
"AGENTS OF SHIELD 2.5","00250456"
"ALI G SHOW 1","00197210"
"ALI G: AIII (PAL)","00198754"
"ALPHAS 1.1","00244518"
"ALPHAS 1.2","00244519"
"ALPHAS 1.3","00244520"
"AMERICAN CRIME STORY 1.1","00251679"
"AMERICAN CRIME STORY 1.1","00251680"
"AMERICAN CRIME STORY 1.2","00251682"
"AMERICAN CRIME STORY 1.3","00251684"
"AMERICAN DAD 1.3","00224651"
"AMERICAN GODS 1.1","00252798"
"AMERICAN GODS 1.2","00252799"
"AMERICAN GODS 2.1","00254425"
"AMERICAN GODS 2.2","00254426"
"AMERICAN GODS 2.3","00254427"
"AMERICAN HORROR STORY 1.1","00244579"
"AMERICAN HORROR STORY 1.2","00244580"
"AMERICAN HORROR STORY 1.3","00244223"
"AMERICAN HORROR STORY 2.1","00246647"
"AMERICAN HORROR STORY 2.1","00246766"
"AMERICAN HORROR STORY 2.2","00246767"
"AMERICAN HORROR STORY 2.3","00246649"
"AMERICAN HORROR STORY 2.3","00246768"
"AMERICAN HORROR STORY 2.4","00246650"
"AMERICAN HORROR STORY 2.4","00246769"
"AMERICAN HORROR STORY 3.1","00248317"
"AMERICAN HORROR STORY 3.2","00248320"
"AMERICAN HORROR STORY 3.3","00248321"
"AMERICAN HORROR STORY 3.4","00248324"
"AMERICAN HORROR STORY 4.1","00250342"
"AMERICAN HORROR STORY 4.2","00250344"
"AMERICAN HORROR STORY 4.3","00250345"
"AMERICAN HORROR STORY 4.4","00250348"
"AMERICAN HORROR STORY 5.1","00251773"
"AMERICAN HORROR STORY 5.2","00251774"
"AMERICAN HORROR STORY 5.3","00251775"
"AMERICAN HORROR STORY 5.4","00251776"
"AMERICAN VANDAL 1.1","00253949"
"AMERICAN VANDAL 1.2","00253950"
"AMERICANS 1.1","00247275"
"AMERICANS 1.2","00247276"
"AMERICANS 1.3","00247277"
"AMERICANS 1.4","00247278"
"AMERICANS 2.1","00248776"
"AMERICANS 2.2","00248777"
"AMERICANS 2.3","00248778"
"AMERICANS 2.4","00248779"
"AMERICANS 3.1","00251271"
"AMERICANS 3.2","00251272"
"AMERICANS 3.3","00251273"
"AMERICANS 3.4","00251274"
"AMERICANS 4.1","00252246"
"AMERICANS 4.2","00252247"
"AMERICANS 4.3","00252248"
"AMERICANS 4.4","00252249"
"AMERICANS 5.1","00253224"
"AMERICANS 5.2","00253225"
"AMERICANS 5.3","00253226"
"AMERICANS 5.4","00253227"
"AMERICANS 6.1","00253736"
"AMERICANS 6.2","00253737"
"AMERICANS 6.3","00253738"
"ANCIENT ALIENS 1.2","00237771"
"ANCIENT ALIENS 1.3","00237772"
"ANGEL 1.1","00250083"
"ANGEL 1.2","00250084"
"ANGEL 1.3","00250085"
"ANGEL 1.4","00250086"
"ANGEL 1.5","00250087"
"ANGEL 1.6","00250088"
"ANGEL 2.1","00250141"
"ANGEL 2.2","00250142"
"ANGEL 2.3","00250143"
"ANGEL 2.4","00250144"
"ANGEL 2.5","00250145"
"ANGEL 2.6","00250146"
"ANGEL 3.1","00250220"
"ANGEL 3.2","00250221"
"ANGEL 3.3","00250222"
"ANGEL 3.4","00250223"
"ANGEL 3.5","00250224"
"ANGEL 3.6","00250225"
"ANGEL 4.1","00250654"
"ANGEL 4.2","00250655"
"ANGEL 4.3","00250656"
"ANGEL 4.4","00250657"
"ANGEL 4.5","00250658"
"ANGEL 4.6","00250659"
"ANGEL 5.1","00251059"
"ANGEL 5.2","00251060"
"ANGEL 5.3","00251061"
"ANGEL 5.4","00251062"
"ANGEL 5.5","00251063"
"ANGEL 5.6","00251064"
"ANGELS IN AMERICA 1","00197196"
"ANGELS IN AMERICA 2","00197379"
"ANIMAL KINGDOM 1.1","00252399"
